rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
1,Walmart,"$572,754 ",2.40%,"$13,673 ",1.20%,"$244,860 ","$409,795 ",-,"2,300,000"
2,Amazon,"$469,822 ",21.70%,"$33,364 ",56.40%,"$420,549 ","$1,658,807.30 ",-,"1,608,000"
3,Apple,"$365,817 ",33.30%,"$94,680 ",64.90%,"$351,002 ","$2,849,537.60 ",-,"154,000"
4,CVS Health,"$292,111 ",8.70%,"$7,910 ",10.20%,"$232,999 ","$132,839.20 ",-,"258,000"
5,UnitedHealth Group,"$287,597 ",11.80%,"$17,285 ",12.20%,"$212,206 ","$479,830.30 ",-,"350,000"
6,Exxon Mobil,"$285,640 ",57.40%,"$23,040 ",-,"$338,923 ","$349,652.40 ",4,"63,000"
7,Berkshire Hathaway,"$276,094 ",12.50%,"$89,795 ",111.20%,"$958,784 ","$779,542.30 ",-1,"372,000"
8,Alphabet,"$257,637 ",41.20%,"$76,033 ",88.80%,"$359,268 ","$1,842,326.10 ",1,"156,500"
9,McKesson,"$238,228 ",3.10%,"($4,539)",-604.30%,"$65,015 ","$45,857.80 ",-2,"67,500"
10,AmerisourceBergen,"$213,988.80 ",12.70%,"$1,539.90 ",-,"$57,337.80 ","$32,355.70 ",-2,"40,000"
11,Costco Wholesale,"$195,929 ",17.50%,"$5,007 ",25.10%,"$59,268 ","$255,230.70 ",1,"288,000"
12,Cigna,"$174,078 ",8.50%,"$5,365 ",-36.60%,"$154,889 ","$76,286.30 ",1,"72,963"
13,AT&T,"$168,864 ",-1.70%,"$20,081 ",-,"$551,622 ","$169,262.40 ",-2,"202,600"
14,Microsoft,"$168,088 ",17.50%,"$61,271 ",38.40%,"$333,779 ","$2,311,358.90 ",1,"181,000"
15,Cardinal Health,"$162,467 ",6.20%,$611 ,-,"$44,453 ","$15,709.40 ",-1,"46,827"
16,Chevron,"$162,465 ",71.60%,"$15,625 ",-,"$239,535 ","$317,120.10 ",11,"42,595"
17,Home Depot,"$151,157 ",14.40%,"$16,433 ",27.70%,"$71,876 ","$309,312.60 ",1,"490,600"
18,Walgreens Boots Alliance,"$148,579 ",6.50%,"$2,542 ",457.50%,"$81,285 ","$38,671.10 ",-2,"258,500"
19,Marathon Petroleum,"$141,032 ",58.50%,"$9,738 ",-,"$85,373 ","$47,758.10 ",13,"17,700"
20,Elevance Health,"$138,639 ",13.80%,"$6,104 ",33.50%,"$97,460 ","$118,533.50 ",3,"98,200"
21,Kroger,"$137,888 ",4.10%,"$1,655 ",-36%,"$49,086 ","$41,496.20 ",-4,"420,000"
22,Ford Motor,"$136,341 ",7.20%,"$17,937 ",-,"$257,035 ","$67,958.20 ",-1,"183,000"
23,Verizon Communications,"$133,613 ",4.10%,"$22,065 ",24%,"$366,596 ","$213,837.10 ",-3,"118,400"
24,JPMorgan Chase,"$127,202 ",-1.80%,"$48,334 ",65.90%,"$3,743,567 ","$402,526.90 ",-5,"271,025"
25,General Motors,"$127,004 ",3.70%,"$10,019 ",55.90%,"$244,718 ","$63,555.20 ",-3,"157,000"
26,Centene,"$125,982 ",13.40%,"$1,347 ",-25.50%,"$78,375 ","$49,072.20 ",-2,"72,500"
27,Meta Platforms,"$117,929 ",37.20%,"$39,370 ",35.10%,"$165,987 ","$605,251 ",7,"71,970"
28,Comcast,"$116,385 ",12.40%,"$14,159 ",34.40%,"$275,905 ","$212,245.80 ",-2,"189,000"
29,Phillips 66,"$114,852 ",75.40%,"$1,317 ",-,"$55,594 ","$41,561 ",19,"14,000"
30,Valero Energy,"$108,332 ",80.20%,$930 ,-,"$57,888 ","$41,572.20 ",23,"9,804"
31,Dell Technologies,"$106,995 ",13.60%,"$5,563 ",71.20%,"$92,735 ","$38,164.40 ",-3,"133,000"
32,Target,"$106,005 ",13.30%,"$6,946 ",59%,"$53,811 ","$98,134.40 ",-2,"450,000"
33,Fannie Mae,"$101,543 ",-4.60%,"$22,176 ",87.90%,"$4,229,166 ",$909.10 ,-8,"7,400"
34,UPS,"$97,287 ",15%,"$12,890 ",859.80%,"$69,405 ","$186,816.60 ",1,"400,945"
35,Lowe's,"$96,250 ",7.40%,"$8,442 ",44.70%,"$44,640 ","$133,761.10 ",-4,"270,000"
36,Bank of America,"$93,851 ",0.10%,"$31,978 ",78.70%,"$3,169,495 ","$332,433.30 ",-7,"208,248"
37,Johnson & Johnson,"$93,775 ",13.60%,"$20,878 ",41.90%,"$182,018 ","$466,046.70 ",-1,"141,700"
38,Archer Daniels Midland,"$85,249 ",32.50%,"$2,709 ",52.90%,"$56,136 ","$50,769.20 ",13,"39,979"
39,FedEx,"$83,959 ",21.30%,"$5,231 ",306.80%,"$82,777 ","$59,971.30 ",6,"484,000"
40,Humana,"$83,064 ",7.70%,"$2,933 ",-12.90%,"$44,358 ","$55,154.90 ",1,"95,500"
41,Wells Fargo,"$82,407 ",2.60%,"$21,548 ",552.80%,"$1,948,068 ","$184,225 ",-4,"247,848"
42,State Farm Insurance,"$82,224.70 ",4.20%,"$1,280.90 ",-65.70%,"$325,349.30 ",-,-3,"53,586"
43,Pfizer,"$81,288 ",94%,"$21,979 ",128.60%,"$181,476 ","$292,385.30 ",34,"79,000"
44,Citigroup,"$79,865 ",-10.10%,"$21,952 ",98.70%,"$2,291,413 ","$105,330.10 ",-11,"221,768"
45,PepsiCo,"$79,474 ",12.90%,"$7,618 ",7%,"$92,377 ","$231,528.20 ",-1,"309,000"
46,Intel,"$79,024 ",1.50%,"$19,868 ",-4.90%,"$168,406 ","$202,635.80 ",-6,"121,100"
47,Procter & Gamble,"$76,118 ",7.30%,"$14,306 ",9.80%,"$119,307 ","$366,271.60 ",-4,"101,000"
48,General Electric,"$74,196 ",-6.80%,"($6,520)",-214.30%,"$198,874 ","$100,810.20 ",-10,"168,000"
49,IBM,"$72,344 ",-1.70%,"$5,743 ",2.70%,"$132,001 ","$116,928.30 ",-7,"297,800"
50,MetLife,"$71,080 ",4.80%,"$6,554 ",21.20%,"$759,708 ","$57,986.50 ",-4,"43,000"
51,Prudential Financial,"$70,934 ",24.40%,"$7,724 ",-,"$937,582 ","$44,482.20 ",4,"40,916"
52,Albertsons,"$69,690.40 ",11.60%,$850.20 ,82.30%,"$26,598 ","$16,063.70 ",-,"300,000"
53,Walt Disney,"$67,418 ",3.10%,"$1,995 ",-,"$203,609 ","$249,718.10 ",-3,"171,000"
54,Energy Transfer,"$67,417 ",73.10%,"$5,470 ",-,"$105,963 ","$34,496.90 ",27,"12,558"
55,Lockheed Martin,"$67,044 ",2.50%,"$6,315 ",-7.60%,"$50,873 ","$117,648.20 ",-6,"114,000"
56,Freddie Mac,"$65,898 ",-0.50%,"$12,109 ",65.30%,"$3,025,586 ",$510.30 ,-9,"7,301"
57,Goldman Sachs Group,"$64,989 ",21.50%,"$21,635 ",128.70%,"$1,463,988 ","$117,667.60 ",2,"43,900"
58,Raytheon Technologies,"$64,388 ",13.80%,"$3,864 ",-,"$161,404 ","$147,640.90 ",-1,"174,000"
59,HP,"$63,487 ",12.10%,"$6,503 ",128.70%,"$38,610 ","$38,237.20 ",-3,"51,000"
60,Boeing,"$62,286 ",7.10%,"($4,202)",-,"$138,552 ","$113,058.70 ",-6,"142,000"
61,Morgan Stanley,"$61,121 ",17.40%,"$15,034 ",36.70%,"$1,188,140 ","$155,685.60 ",-,"74,814"
62,HCA Healthcare,"$58,752 ",14%,"$6,956 ",85.30%,"$50,742 ","$75,691.90 ",-,"244,000"
63,AbbVie,"$56,197 ",22.70%,"$11,542 ",150%,"$146,529 ","$286,332.40 ",5,"50,000"
64,Dow,"$54,968 ",42.60%,"$6,311 ",415.20%,"$62,990 ","$46,839.70 ",18,"35,700"
65,Tesla,"$53,823 ",70.70%,"$5,519 ",665.50%,"$62,131 ","$1,113,707.80 ",35,"99,290"
66,Allstate,"$53,228 ",18.80%,"$1,599 ",-71.30%,"$99,440 ","$38,553.70 ",4,"54,500"
67,AIG,"$52,057 ",19%,"$9,388 ",-,"$596,112 ","$50,608.20 ",5,"36,600"
68,Best Buy,"$51,761 ",9.50%,"$2,454 ",36.50%,"$17,504 ","$20,473.20 ",-2,"81,375"
69,Charter Communications,"$51,682 ",7.50%,"$4,654 ",44.40%,"$142,491 ","$112,803.40 ",-5,"93,700"
70,Sysco,"$51,297.80 ",-3%,$524.20 ,143.30%,"$21,413.50 ","$41,433.10 ",-10,"57,710"
71,Merck,"$51,216 ",6.70%,"$13,049 ",84.60%,"$105,694 ","$207,400.50 ",-6,"67,500"
72,New York Life Insurance,"$51,198.50 ",9.60%,$277.10 ,-,"$379,984.60 ",-,-5,"14,344"
73,Caterpillar,"$50,971 ",22.10%,"$6,489 ",116.40%,"$82,793 ","$119,406.60 ",5,"107,700"
74,Cisco Systems,"$49,818 ",1%,"$10,591 ",-5.60%,"$97,497 ","$231,636.40 ",-11,"79,500"
75,TJX,"$48,550 ",51.10%,"$3,282.80 ",3528.60%,"$28,461.50 ","$71,195.30 ",22,"340,000"
76,Publix Super Markets,"$48,393.90 ",7.10%,"$4,412.20 ",11.10%,"$31,524.30 ",-,-7,"232,000"
77,ConocoPhillips,"$48,349 ",151.10%,"$8,079 ",-,"$90,661 ","$129,605.10 ",79,"9,900"
78,Liberty Mutual Insurance Group,"$48,200 ",10.10%,"$3,068 ",304.70%,"$156,043 ",-,-7,"45,000"
79,Progressive,"$47,702 ",11.80%,"$3,350.90 ",-41.30%,"$71,132.30 ","$66,670.30 ",-5,"49,077"
80,Nationwide,"$47,376 ",13%,"$1,617.20 ",-,"$278,412.20 ",-,-4,"24,134"
81,Tyson Foods,"$47,049 ",8.90%,"$3,047 ",47.80%,"$36,309 ","$32,487.80 ",-8,"137,000"
82,Bristol-Myers Squibb,"$46,385 ",9.10%,"$6,994 ",-,"$109,314 ","$155,203.50 ",-7,"32,200"
83,Nike,"$44,538 ",19.10%,"$5,727 ",125.60%,"$37,740 ","$212,779.10 ",2,"73,300"
84,Deere,"$44,024 ",23.90%,"$5,963 ",116.80%,"$84,114 ","$127,456.60 ",4,"75,550"
85,American Express,"$43,663 ",14.30%,"$8,060 ",157.10%,"$188,548 ","$141,613 ",-2,"64,000"
86,Abbott Laboratories,"$43,075 ",24.50%,"$7,071 ",57.30%,"$75,196 ","$208,725.80 ",3,"113,000"
87,StoneX Group,"$42,534.20 ",-21.40%,$116.30 ,-31.40%,"$18,839.60 ","$1,494.40 ",-29,"3,242"
88,Plains GP Holdings,"$42,078 ",80.70%,$60 ,-,"$29,978 ","$2,242.90 ",39,"4,100"
89,Enterprise Products Partners,"$40,806.90 ",50%,"$4,637.70 ",22.80%,"$67,525.60 ","$56,172.40 ",16,"6,911"
90,TIAA,"$40,526.40 ",-2.60%,"$4,060.70 ",627.60%,"$698,190.80 ",-,-11,"15,065"
91,Oracle,"$40,479 ",3.60%,"$13,746 ",35.60%,"$131,107 ","$220,736.60 ",-11,"132,000"
92,Thermo Fisher Scientific,"$39,211 ",21.70%,"$7,725 ",21.20%,"$95,123 ","$231,057.40 ",3,"129,000"
93,Coca-Cola,"$38,655 ",17.10%,"$9,771 ",26.10%,"$94,354 ","$268,769.70 ",-,"79,000"
94,General Dynamics,"$38,469 ",1.40%,"$3,257 ",2.80%,"$50,073 ","$67,081 ",-10,"103,100"
95,CHS,"$38,448 ",35.40%,$554 ,31.10%,"$17,576.30 ",-,8,"9,941"
96,USAA,"$37,469.60 ",3.20%,"$3,300 ",-15.50%,"$210,676.50 ",-,-9,"37,335"
97,Northwestern Mutual,"$36,751.20 ",8.80%,$977.80 ,130.10%,"$334,653.80 ",-,-7,"7,585"
98,Nucor,"$36,483.90 ",81.20%,"$6,827.50 ",846.30%,"$25,823.10 ","$39,954 ",51,"28,800"
99,Exelon,"$36,347 ",10%,"$1,706 ",-13.10%,"$133,013 ","$46,683.90 ",-7,"31,518"
100,Massachusetts Mutual Life Insurance,"$35,899.50 ",51.70%,$319.30 ,-,"$383,292.40 ",-,23,"10,052"
101,Northrop Grumman,"$35,667 ",-3.10%,"$7,005 ",119.70%,"$42,579 ","$69,811.90 ",-15,"88,000"
102,3M,"$35,355 ",9.90%,"$5,921 ",10%,"$47,072 ","$84,738.30 ",-6,"95,000"
103,Travelers,"$34,816 ",8.90%,"$3,662 ",35.80%,"$120,466 ","$44,129.40 ",-5,"30,492"
104,Arrow Electronics,"$34,477 ",20.20%,"$1,108.20 ",89.60%,"$19,535.50 ","$7,951.30 ",-2,"20,700"
105,Honeywell International,"$34,392 ",5.40%,"$5,542 ",16%,"$64,470 ","$133,381 ",-11,"99,000"
106,Dollar General,"$34,220.40 ",1.40%,"$2,399.20 ",-9.60%,"$26,327.40 ","$50,953 ",-15,"163,000"
107,Qualcomm,"$33,566 ",42.60%,"$9,043 ",74%,"$41,240 ","$172,228.10 ",17,"45,000"
108,Capital One Financial,"$32,033 ",1.20%,"$12,390 ",356.50%,"$432,381 ","$53,260.40 ",-9,"50,767"
109,TD Synnex,"$31,614.20 ",28.10%,$395.10 ,-25.30%,"$27,666.40 ","$9,853.60 ",8,"27,000"
110,Philip Morris International,"$31,405 ",9.40%,"$9,109 ",13.10%,"$41,290 ","$145,614.70 ",-9,"69,600"
111,World Fuel Services,"$31,337 ",53.90%,$73.70 ,-32.80%,"$5,942.40 ","$1,715.50 ",36,"4,414"
112,Performance Food Group,"$30,398.90 ",21.20%,$40.70 ,-,"$7,845.70 ","$7,880.90 ",2,"22,885"
113,Delta Air Lines,"$29,899 ",74.90%,$280 ,-,"$72,459 ","$25,322 ",65,"83,000"
114,American Airlines Group,"$29,882 ",72.40%,"($1,993)",-,"$66,467 ","$11,847.20 ",60,"123,400"
115,Netflix,"$29,697.80 ",18.80%,"$5,116.20 ",85.30%,"$44,584.70 ","$166,304.10 ",-,"11,300"
116,Paramount Global,"$29,579 ",13%,"$4,543 ",87.60%,"$58,620 ","$24,628.80 ",-7,"25,115"
117,US Foods Holding,"$29,487 ",28.80%,$164 ,-,"$12,521 ","$8,392.30 ",11,"28,000"
118,Danaher,"$29,453 ",32.20%,"$6,433 ",76.40%,"$83,184 ","$209,993.40 ",12,"79,000"
119,Jabil,"$29,285 ",7.40%,$696 ,1191%,"$16,654 ","$8,857.30 ",-15,"238,000"
120,Starbucks,"$29,060.60 ",23.60%,"$4,199.30 ",352.40%,"$31,392.60 ","$104,642.80 ",5,"383,000"
121,Mondelez International,"$28,720 ",8%,"$4,300 ",21%,"$67,092 ","$87,159.20 ",-13,"79,000"
122,Eli Lilly,"$28,318.40 ",15.40%,"$5,581.70 ",-9.90%,"$48,806 ","$272,723.60 ",-4,"35,238"
123,Hewlett Packard Enterprise,"$27,784 ",3%,"$3,427 ",-,"$57,699 ","$21,725.30 ",-17,"60,400"
124,D.R. Horton,"$27,774.20 ",36.70%,"$4,175.80 ",75.90%,"$24,015.90 ","$26,403.20 ",24,"11,788"
